fig_num,name,num_parts
fig-004141,Princess Leia in Poncho,5
fig-004142,"Rebel Trooper in Endor Uniform, Olive Green",4
fig-004143,"Imperial Astromech Droid, Black",4
fig-004144,Agent Alexsandr Kallus with Hair,4
fig-004146,Kylo Ren with Helmet,5
fig-004147,General Hux with Cap,4
fig-004148,"Stormtrooper Officer, First Order, with Pauldron",5
fig-004149,"First Order Officer / Lieutenant / Captain, Female",4
fig-004150,First Order Crew Member / Fleet Engineer / Gunner with Reddish Brown Skin,4
fig-004151,Captain Phasma,5
fig-004152,Resistance Soldier,4
fig-004153,"Resistance Soldier, Female",4
fig-004154,First Order Flametrooper with Neck Bracket,13
fig-004155,Resistance Crew,4
fig-004156,Poe Dameron in Pilot Outfit with Black Helmet with Visor,4
fig-004157,Resistance Pilot X-wing,4
fig-004158,"R2-BHD, Astromech Droid",4
fig-004159,Dutch Vander / Rebel Pilot Y-wing with White Helmet with Olive Green Markings,4
fig-004160,"R3-T2, Astromech Droid",4
fig-004161,Jawa with Black Straps,4
fig-004162,Mace Windu with Dark Tan Legs,3
fig-004163,R5-A2,4
fig-004164,"RA-7 Protocol Droid, Pearl Dark Gray",3
fig-004165,2-1B Medical Droid with Peeling Paint,4
fig-004166,Sandtrooper Squad Leader / Captain with Orange Pauldron and Neck Bracket,6
fig-004167,Chief Tarfful with Dark Tan Fur and Armor,3
fig-004168,"Battle Droid, Kashyyyk",5
fig-004169,Rebel Trooper in Hoth Uniform with Tan with Beard,5
fig-004170,Naare with Dark Blue Hood,5
fig-004171,Dengar with Dark Brown Legs,5
fig-004172,Zev Senesca / Snowspeeder Pilot with Pearl Dark Gray Helmet,4
fig-004173,Will Scotian / Snowspeeder Gunner,4
fig-004174,Princess Leia / General Leia,4
fig-004175,Admiral Ackbar in Medium Dark Flesh Outtfit,3
fig-004176,Resistance Soldier with Two Shoulder Belts,5
fig-004177,Resistance Trooper with Shirt with Two Pockets and Resistance Insignia,5
fig-004178,Maz Kanata,3
fig-004179,Kylo Ren with Black Hair and Short Cape,5
fig-004180,Han Solo in Hoth Outfit with Dark Brown Hood with Tan Fur,4
fig-004181,Ugnaught in Dark BLue Overalls,3
fig-004182,Boba Fett with Pauldron with Orange Stripe,7
fig-004183,Han Solo in White Shirt and Plain Dark Brown Legs,4
fig-004184,R4-P17 with Silver Band on Dome,4
fig-004185,"Obi-Wan Kenobi in Tan Robes with Belt, and Printed Gold Headset",4
fig-004187,Imperial Crew with Black Cap,4
fig-004189,Clone Trooper / Shock Trooper with Red Arms,4
fig-004190,"Clone Trooper / Jumptrooper, with Jet Packs",8
fig-004191,Rodian Alliance Fighter,3
fig-004192,Duros Alliance Fighter with Jet Pack,7
fig-004193,Rebel Trooper with Dark Tan Helmet and White Snow Goggles,5
fig-004194,Rebel Trooper with Helmet and Jet Pack,8
fig-004195,First Order Crew Member with Reddish Brown Skin and Black Cap,4
fig-004197,"Stormtrooper, First Order, / Heavy Assault Stormtrooper",4
fig-004198,Resistance Officer with Printed Headset,4
fig-004199,Resistance Trooper with Dark Tan Shirt and Two Shoulder Straps,5
fig-004200,Resistance Trooper with Tan Shirt and Two Shoulder Straps,5
fig-004201,Resistance Trooper with Tan Shirt and Two Shoulder Straps and Moustach,5
fig-004202,Rebel Pilot U-wing,4
fig-004203,Commander Sato,4
fig-004204,"Ahsoka Tano, Adult",4
fig-004205,Imperial Inquisitor Fifth Brother,5
fig-004206,"Captain Rex, Old",3
fig-004207,Commander Gregor,3
fig-004208,"Commander Wolffe, Old",3
fig-004209,Bodhi Rook,5
fig-004210,Director Orson Callan Krennic,5
fig-004211,K-2SO,4
fig-004212,Imperial Death Trooper / Specialist / Commander,5
fig-004213,Pao,5
fig-004214,Bistan,3
fig-004215,Cassian Andor in Dark Blue Outfit,4
fig-004216,Jyn Erso with Poncho and White Snow Goggles,6
fig-004217,Rebel Pilot U-wing / Y-wing,4
fig-004218,Corporal Eskro Casrich / Rebel Trooper,4
fig-004219,Scarif Stormtrooper / Shoretrooper Captain,4
fig-004220,Technician Kent Deezling / Imperial Ground Crew,4
fig-004221,Private Basteren / Rebel Trooper,4
fig-004222,Baze Malbus with Neck Bracket,5
fig-004223,Imperial AT-ST Driver with Helmet with Printed Goggles,4
fig-004224,Lieutenant Sefla / Rebel Trooper,4
fig-004225,Chirrut Imwe,6
fig-004226,Imperial Hovertank Pilot,4
fig-004227,Luminara Unduli with Dark Brown Hat and Cape,5
fig-004228,Quinlan Vos with Printed Legs,4
fig-004230,Darth Vader with White Head (Rebels),6
fig-004231,Sabine Wren with Dark Blue and Bright Green Hair,4
fig-004232,"Rebel Pilot A-wing with Open Helmet and Sand Blue Uniform, Female",4
fig-004233,Grand Moff Wilhuff Tarkin,4
fig-004234,Lor San Tekka,4
fig-004236,Poe Dameron in Open Medium Dark Flesh Jacket,4
fig-004237,Zander in Sand Blue Outfit,4
fig-004238,Rowan with Yellow Jacket and Hat and Goggles,5
fig-004239,Kordi with Sand Blue Legs,4
fig-004240,Imperial Death Trooper,4
fig-004241,First Order Officer / Major / Colonel in Dark Blue Uniform,4
fig-004242,4-LOM,3
fig-004243,Bossk in Bright Light Yellow Outfit,3
fig-004244,IG-88 with Printed Head and 1x1 Round Plate,9
fig-004245,Rose Tico,4
fig-004246,Finn with Open Medium Dark Flesh Jacket,4
fig-004247,Rebel Pilot A-wing with Open Helmet and Green Uniform,4
fig-004248,Lando Calrissian with Sand Blue Cape,5
fig-004249,Rebel Technician / Ground Crew,4
fig-004250,Skiff Guard,3
fig-004251,Boba Fett with Olive Green Pauldron,7
fig-004252,Han Solo in White Shirt and Plain Dark Brown Legs with Wavy Reddish Brown Hair,4
fig-004253,"R3-S1, Astromech Droid",4
fig-004254,Admiral Raddus,3
fig-004255,Moroff,4
fig-004256,Scarif Stormtrooper / Shoretrooper,4
fig-004257,Jyn Erso in Imperial Ground Crew Disguise,4
fig-004258,Cassian Andor in Reddish Brown Jacket,4
fig-004259,Admiral Thrawn,4
fig-004260,"Kanan Jarrus, Blind",4
fig-004261,"Obi-Wan Kenobi with Padawan Braid over Shoulder, Dark Orange Hair, and Printed Legs",4
fig-004262,Qui-Gon Jinn with Long Tan Robes,4
fig-004263,Rowan in Tan Jacket,4
fig-004264,M-OC Hunter Droid,4
fig-004265,Anakin Skywalker with Torn Clothing and No Hair,3
fig-004266,Medical Droid,14
fig-004267,Aayla Secura,4
fig-004268,Clone Trooper Gunner,4
fig-004269,Guavian Security Soldier,3
fig-004270,Bala-Tik,4
fig-004271,BB-9E,2
fig-004273,"TIE Pilot, First Order, with Two Red Lines on Helmet",4
fig-004274,Kylo Ren with Cape,5
fig-004276,"Stormtrooper, First Order / Heavy Assault Stormtrooper with Neck Bracket",5
fig-004277,General Hux with Hair,4
fig-004279,"Resistance Trooper with Dark Tan Hoodie, and Helmet, Female",4
fig-004280,Rey in Dark Tan Jacket,4
fig-004281,"Luke Skywalker, Old, with Dark Tan Cape",5
fig-004282,First Order Shuttle Pilot,4
fig-004283,"Stormtrooper, First Order / Stormtrooper Executioner",4
fig-004284,Kylo Ren,4
fig-004285,Tallissan 'Tallie' Lintra / Resistance Pilot A-wing,4
fig-004286,Nodin Chavdri / Resistance Speeder Pilot,4
fig-004287,First Order Walker Driver,4
fig-004288,"Boba Fett, Child in Medium Blue Outfit",4
fig-004289,Jango Fett with Jet Pack,6
fig-004290,Supreme Leader Snoke,3
fig-004291,First Order Officer / Lieutenant / Captain,4
fig-004292,"Stormtrooper Squad Leader, First Order",5
fig-004293,Rey in Light Bluish Gray Robes,4
fig-004295,Poe Dameron in Black Jacket,4
fig-004296,"Resistance Trooper with Dark Tan Hoodie, and Helmet",5
fig-004297,Poe Dameron in Dark Orange Outfit,4
fig-004298,Vice Admiral Holdo,4
fig-004299,Resistance Gunner Paige,4
fig-004300,Nix Jerd / Resistance Bombardier,4
fig-004301,Finch Dallow / Resistance Bomber Pilot,4
fig-004302,Resistance Pilot Bomber,4
fig-004303,"Han Solo, Young, with White Jacket and Dirt Stains on Legs",4
fig-004304,Qi'ra with Dark Red Shirt,4
fig-004305,Yoda with Belt,3
fig-004306,R2-D2 with Dirt Stains,4
fig-004307,Luke Skywalker in Dagobah Outfit with Neck Bracket,5
fig-004308,Imperial Recruitment Officer / Chief / Navy Captain,4
fig-004309,Corporal Zuzanu Latt / Imperial Emigration Officer / Imperial Navy Trooper ,4
fig-004310,Imperial Patrol Trooper,4
fig-004311,"Greedo, Sand Green with Holster",3
fig-004312,Wuher,4
fig-004314,Sandtrooper Sergeant with White Pauldron,6
fig-004315,Rose Tico in First Order Officer Disguise,4
fig-004316,Finn in First Order Officer Disguise,4
fig-004317,R2-Q2 with Large Red Dots,4
fig-004318,Biggs Darklighter with White Helmet with Trans-Yellow Visor,4
fig-004319,Luke Skywalker in Orange Pilot Outfit with White Helmet with Trans-Orange Visor,4
fig-004321,Chewbacca with Crossed Bandoliers and Goggles,3
fig-004322,Han Solo in Fur Coat and Printed Goggles,4
fig-004323,Range Trooper,5
fig-004324,Imperial Gunner,5
fig-004325,Elite Praetorian Guard with Pointed Helmet and Skirt,5
fig-004326,Weazel,4
fig-004327,Enfys Nest,5
fig-004328,Tobias Beckett,4
fig-004329,DD-BD,8
fig-004330,Chewbacca with Crossed Bandoliers,3
fig-004331,"S1D6-SA-5, Kessel Operations Droid",3
fig-004332,"Lando Calrissian, Young, with Short Cape with Collar",5
fig-004333,Qi'ra in Tan Jacket,4
fig-004334,Quay Tolsite,4
fig-004335,"Han Solo, Young, with Black Legs with Holster",4
fig-004336,Tobias Beckett in Imperial Mudtrooper Disguise,4
fig-004337,"Stormtrooper, Mimban",5
fig-004338,Imperial Pilot,4
fig-004339,Han Solo in Imperial Mudtrooper Disguise,5
fig-004340,Moloch,3
fig-004341,Rebolt,4
fig-004342,Elite Praetorian Guard with Pointed Helmet,5
fig-004343,Elite Praetorian Guard with Flat Helmet,5
fig-004344,Ugnaught,3
fig-004345,Boba Fett with Pauldron with Orange Stripe with Rangefinder and Printed Arms and Legs,7
fig-004346,Bespin Guard with Moustache,4
fig-004347,Lando Calrissian in Cloud City Outfit with Dual Sided Cape,5
fig-004348,Lobot in Light Blush Gray Outfit,3
fig-004349,"Luke Skywalker in Cloud City Outfit, Dark Tan",4
fig-004350,Princess Leia in Dark Red Bespin Outfit,4
fig-004351,Princess Leia in Hoth Outfit with Dual Sided Head,4
fig-004352,Han Solo with Dual Molded Legs,4
fig-004353,"Sandtrooper with Black Pauldron, Ammo Pouch and Dirt Stains, and Neck Bracket",6
fig-004355,Sandtrooper Squad Leader / Captain with Orange Pauldron and Neck Bracket,6
fig-004356,Val,4
fig-004357,Rio Durant,4
fig-004358,Qi'ra with Fur Coat,4
fig-004359,Dryden's Guard / Hylobon Enforcer with Open Mouth,3
fig-004360,Dryden's Guard / Hylobon Enforcer with Closed Mouth,3
fig-004361,Zuckuss,3
fig-004362,"Astromech Droid, Dark Turquoise",4
fig-004363,"Bandit - Western, Black Jacket, Black Handkerchief, Brown Hat",5
fig-004364,"Bandit - Western, Red Shirt, Black Handkerchief, Brown Hat",4
fig-004367,"Bandit - Western, Green Suit, Top Hat",4
fig-004368,"Cavalry Lieutenant - Hat, White Bandana",5
fig-004369,Cavalry Soldier - White Handkerchief,5
fig-004370,"Indian - Woman, Tan Clothing, Red Trim, Quiver",6
fig-004371,Indian - Red Shirt,4
fig-004372,"Indian, Red Shirt, Quiver",5
fig-004373,Cavalry Lieutenant - Hat,4
fig-004374,Cavalry Soldier,4
fig-004375,Cowboy - Red Shirt,4
fig-004376,Sheriff,4
fig-004377,Banker - Western,4
fig-004378,Cowboy - Blue Shirt,4
fig-004379,"Viking Warrior - Chain Mail, Red Band",6
fig-004380,"Viking Warrior - Chain Mail, Sand Green Arms",6
fig-004381,"Viking Warrior - Armour, Sand Blue Arms",6
fig-004382,"Viking Warrior - Armour, Sand Blue Arms, Reddish Brown Legs",6
fig-004383,"Viking Warrior - Armour, Dark Red Arms",6
fig-004384,"Viking Warrior - Armour, Bare Arms",6
fig-004385,"Man - Blue Shirt, White Arm, Light Gray Legs",4
fig-004386,"Woman - Red/White Striped Shirt, Red Arms, Red Legs",4
fig-004387,"Man - Blue Torso, Black Legs",4
fig-004388,"Woman - White Torso, Red Legs",4
fig-004389,"Woman - Rec Torso, Light Gray Legs",4
fig-004390,"Man - Red Torso, Blue Legs",4
fig-004391,"Woman - White Torso, Black Legs",4
fig-004392,Man - Black Suit,4
fig-004393,"Woman - White Torso, Red Neclace, White LEgs",4
fig-004394,"Woman - Blue Torso, White Legs",4
fig-004395,"Man - Red/White Striped Shirt, Red Arms, White Legs, Red Hat",4
fig-004396,"Racer - Octan, Red Torso, Green Legs, White Helmet",5
fig-004397,"Man - White Torso, Blue Overall",4
fig-004398,"Man - blue Torso, Red Legs",4
fig-004399,"Woman - Black Torso, White Legs",4
fig-004400,"Man - Red Torso, Black Legs",4
fig-004401,"Woman - Blue Torso, Red Legs",4
fig-004402,"Woman - Blue Torso, Blue Legs",4
fig-004403,Major Vonreg,4
fig-004404,Kaz Xiono,4
fig-004405,R1-J5 (Bucket),8
fig-004406,Princess Leia / General Leia in Sand Green Outfit with Dark Purple Vest,4
fig-004408,Snowtrooper with Dark Tan Hands,4
fig-004409,"Rebel Trooper in Hoth Uniform with Brown Beard, Dark Tan Legs, Dark Bluish Gray Hands, and White Snow Goggles",5
fig-004410,Scout Trooper with Dual Molded White and Black Helmet,4
fig-004411,Stormtrooper with Helmet with Dark Bluish Gray Squares on Back,4
fig-004412,Luke Skywalker in Orange Pilot Outfit with White Helmet with Printed Visor,4
fig-004413,Stormtrooper with Helmet with Black Squares on Back,4
fig-004414,Clone Commander Gree with Dark Green Arms,4
fig-004416,Clone Trooper / 41st Kashyyyk,4
fig-004417,Princess Leia in White Robes,4
fig-004418,Luke Skywalker with Utility Belt and Neck Bracket,6
fig-004419,Bail Organa,5
fig-004420,Knight (Yellow Castle) - Black,5
fig-004421,Captain Antilles in Dark Tan Outfit,5
fig-004422,Princess Leia in White Dress,4
fig-004423,Knight (Yellow Castle) - Black with Visor,6
fig-004424,Knight (Yellow Castle) - Blue,5
fig-004425,Princess Leia (20th Anniversary),4
fig-004426,"Han Solo with Dark Brown Legs with Holster, Dark Blue Jacket and Wavy Hair",4
fig-004427,Knight (Yellow Castle) - Blue with Visor,6
fig-004428,BB-8 with Large Photoreceptor,2
fig-004429,Griff Halloran,4
fig-004431,Poe Dameron in Pilot Outfit with Black Hair,4
fig-004432,"Rebel Trooper in Hoth Uniform with White Beard, Dark Tan Legs, Dark Bluish Gray Hands, and White Snow Goggles",5
fig-004433,Knight (Yellow Castle) - Red,5
fig-004434,"Rebel Trooper in Hoth Uniform with Light Flesh Skin and White Goggles, Frown",5
fig-004435,"Rebel Trooper in Hoth Uniform with Light Flesh Skin and White Goggles, Open Mouth",5
fig-004436,Knight (Yellow Castle) - Red with Visor,6
fig-004437,Imperial Transport Pilot / Athex,4
fig-004438,Knight (Yellow Castle) - White,5
fig-004439,Darth Vader in Bacta Tank Outfit,4
fig-004440,Rey in White Robes,4
fig-004441,Knight (Yellow Castle) - White with Visor,6
fig-004442,First Order Treadspeeder Driver,4
fig-004443,First Order Jet Trooper,6
fig-004445,Poe Dameron in White Shirt and Neck Scarf,4
fig-004447,First Order Snowtrooper with Cape,5
fig-004448,Lieutenant Connix,4
fig-004449,Temmin 'Snap' Wexley / Resistance Pilot,4
fig-004450,Boolio,3
fig-004451,"Lando Calrissian, Old, with Dark Azure and Black Cape",6
fig-004452,Finn with Open Medium Dark Flesh Jacket with Dark Blue Legs with Holster,4
fig-004453,General Pryde,4
fig-004454,"Sith Trooper, Red",4
fig-004455,"Kylo Ren, Supreme Leader with Cape",5
fig-004456,Ushar / Knight of Ren,4
fig-004457,Ap'lek / Knight of Ren,5
fig-004458,"Man - Sunglasses, White Torso with Dolphin, Black Legs, White Cap",4
fig-004459,"TV Worker - Blue Torso, Green Legs, Female",4
fig-004460,Klatooinian Raider with Helmet,4
fig-004461,Klatooinian Raider,4
fig-004462,"Man - Red/White Striped Shirt, White Arms, Light gray Legs",4
fig-004463,"Carasynthia ""Cara"" Dune",4
fig-004464,The Mandalorian / Din Djarin,5
fig-004465,"Woman - Gold Necklace, White Torso, Blue Legs, Red Hair",4
fig-004467,"Imperial Crew with Cap, and Printed Arms",4
fig-004468,"Man - White Torso with Blue/Red Stripes, Black Legs",4
fig-004469,"Woman - Red Torso, Blue LEgs",4
fig-004470,"Man - White Torso with Dolphin, Black Legs",4
fig-004471,Imperial Officer / Lieutenant with Dual Molded Legs,4
fig-004472,Lando Calrissian (20th Anniversary),5
fig-004473,"Man - White Torso with Blue/Red Stripes, Black Legs, Red Cap",4
fig-004474,"Rebel Trooper in Hoth Uniform with Light Flesh Skin, White Snow Goggles, and Backpack",6
fig-004475,"Man - Blue Octan Torso, White Legs",4
fig-004476,"Dak Ralter with Light Bluish Gray Hips, and Pockets and Straps",4
fig-004477,"Knight (Halved Shield) - Black Legs, Chin-Guard",4
fig-004478,"Knight (Quartered Shield) - White Legs, Black Visor",5
fig-004479,"Knight (Quartered Shield) - Red Legs, Red Visor",5
fig-004480,Padme Amidala / Naberrie with Medium Legs,4
fig-004481,Luke Skywalker in Orange Pilot Outfit (20th Anniversary),4
fig-004482,"Droideka / Destroyer Droid with Brick Built Shell, Dark Brown",24
fig-004483,Yoda with Sand Green Skin (Clone Wars),3
fig-004484,"Padawan, Female",4
fig-004485,Crix Madine with Tan Legs,4
fig-004486,"Knight (Halved Shield) - Light Gray Legs, Neck-Protector",4
fig-004487,Trudgen / Knight of Ren,4
fig-004488,"Knight (Quartered Shield) - Black Legs, Black Visor",5
fig-004489,Jannah,5
fig-004490,Vicrul / Knight of Ren,4
fig-004491,Anakin Skywalker with Dirt Stains,4
fig-004492,Obi-Wan Kenobi with Dirt Stains,4
fig-004493,Wedge Antilles with Leg Ammo Belt,4
fig-004494,Knight (Thirded Shield) - Black Legs,4
fig-004495,Sith Jet Trooper,5
fig-004496,Sith Fleet Officer,4
fig-004497,"Knight (Quartered Shield) - Red Legs, Neck-Protector",4
fig-004498,"Han Solo, Blue Legs (20th Anniversary)",4
fig-004499,Shadow Trooper with Printed Legs,4
fig-004500,T-16 Skyhopper Pilot with Light Bluish Gray Helmet and Straps,4
fig-004501,Sandspeeder Pilot with Dark Red Helmet,4
fig-004502,Sandspeeder Gunner,4
fig-004503,"Wookiee Warrior, Dark Brown",3
fig-004504,Darth Vader (20th Anniversary),5
fig-004505,Ki-Adi-Mundi with Printed Legs,4
fig-004506,Barriss Offee with Skirt,5
fig-004507,Clone Trooper (Episode 2),4
fig-004508,Iden Versio / Inferno Squad Commander,4
fig-004509,Inferno Squad Agent with Utility Belt,5
fig-004510,"Knight (Quartered Shield) - Red Legs, Neck-Protector (reissue)",4
fig-004511,"Inferno Squad Agent, Angry, Open Mouth",4
fig-004512,Inferno Squad Agent with Sunken Eyes,4
fig-004513,Prince (Knights Tournament),4
fig-004514,Princess (Knights Tournament),4
fig-004515,"Knight (Quartered Shield) - White Legs, Red Visor",5
fig-004516,"Knight (Quartered Shield) - Red Legs, Black Visor",5
fig-004517,2-1B Medical Droid,4
fig-004518,Luke Skywalker in Bacta Tank Outfit,4
fig-004519,Poe Dameron with Hair and Headset,4
fig-004520,Admiral Ematt,4
fig-004521,"Resistance Trooper with Dark Tan Hoodie, Ammo Pouch, and Helmet with Chin Guard",5
fig-004522,"Mandalorian Warrior, Dark Azure",5
fig-004523,"Mandalorian Warrior, Dark Blue and Green",6
fig-004524,Blacksmith - Plastic Apron,5
fig-004525,"Mandalorian Warrior, Dark Brown",5
fig-004526,"Mandalorian Warrior, Dark Tan and Sand Blue",6
fig-004527,Corporal Tonc / Rebel Trooper with Reddish Brown Skin,4
fig-004528,Private Calfor / Rebel Trooper,4
fig-004529,Corporal Rostok / Rebel Trooper with Beard and White Snow Goggles,5
fig-004530,Private Kappehl / Rebel Trooper with Black Beard and White Snow Goggles,5
fig-004531,Blacksmith - Long Beard,4
fig-004532,Blacksmith - Brown Apron,4
fig-004533,Blacksmith - Printed Gray Beard,4
fig-004534,Blacksmith - Black Hair,4
fig-004535,"Maggie Simpson, Worried (CMF)",2
fig-004536,Mr. Burns (CMF),3
fig-004537,Maggie Simpson (CMF),2
fig-004538,Knight (Crusader Axe) - Black Legs,4
fig-004539,Archer (Crusader Axe) - Black Legs,5
fig-004540,Knight (Crusader Axe) - Black Legs (reissue),4
fig-004541,Archer (Crusader Axe) - Black Legs (reissue),5
fig-004542,Homer Simpson with Name Badge,3
fig-004543,"Knight (Crusader Axe) - Blue Legs, Chin-Guard",4
fig-004544,Marge Simpson in Apron,4
fig-004545,Ned Flanders in Apron,3
fig-004546,Lisa Simpson,4
fig-004547,Archer (Crusader Lion) - Blue Legs,5
fig-004548,Bart Simpson with Half Closed Eyes,3
fig-004549,Marge Simpson,4
fig-004550,Chief Wiggum,3
fig-004551,"Knight (Crusader Axe) - Blue Legs, Neck-Protector",4
fig-004552,Apu Nahasapeemapetilon,3
fig-004553,Snake,3
fig-004555,Robin with Very Short Cape,5
fig-004556,Guard,4
fig-004557,Two-Face in Orange and Purple Suit,4
fig-004558,Two-Face's Henchman in Orange and Purple Outfit with Glasses,4
fig-004559,Two-Face's Henchman in Orange and Purple Outfit with Beard,4
fig-004560,Wonder Woman,4
fig-004561,Lex Luthor in Black Suit,3
fig-004562,Poison Ivy with Hair Over Shoulder,4
fig-004563,Bane with Light Flesh Hands,3
fig-004564,Bruce Wayne in Sand Blue Suit,4
fig-004565,"Knight (Crusader Axe) - Red Legs, Neck-Protector",4
fig-004566,"Archer (Crusader Lion) - Red Legs, Dark Gray Chin-Guard",5
fig-004567,"Knight (Crusader Lion) - Blue Legs, Chin-Guard",4
fig-004568,"Knight (Crusader Lion) - Red Legs, Chin-Guard",4
fig-004569,Archer (Crusader Axe) - Blue Legs,5
fig-004570,"Archer (Crusader Lion) - Red Legs, Black Chin-Guard",5
fig-004571,Knight (Crusader Axe) - Light Gray Legs,4
fig-004572,"Knight (Crusader Axe) - Red Legs, Chin-Guard",4
fig-004573,"Knight (Crusader Lion) - Red Legs, Black Neck-Protector",4
fig-004574,Archer (Crusader Axe) - Red Legs,5
fig-004575,"Knighgt (Crusader Axe) - Red Legs, Plastic Cape",5
fig-004576,Knight (Crusader Lion) - Black Legs,4
fig-004577,"Knight (Crusader Lion) - Light Gray Legs, Plastic Cape",5
fig-004578,Archer (Crusader Lion) - Light Gray Legs,5
fig-004579,Krypto the Superdog,3
fig-004580,Lobo,4
fig-004581,Loki,5
fig-004582,Deadpool,4
fig-004583,Wolverine,4
fig-004584,Magneto in Red Outfit,5
fig-004585,Captain America with Dark Blue Head,3
fig-004586,Chitauri Foot Soldier,3
fig-004587,Chitauri General,3
fig-004588,Catwoman with Purple Lips,4
fig-004589,Batman with Dark Blue Cowl and Wings,5
fig-004590,Hulk with Black Hair and Dark Tan Pants (Big Fig),5
fig-004591,Black Widow with Black Hands,4
fig-004592,Iron Man in Mark 7 Armor,5
fig-004593,Iron Fist,3
fig-004594,Dr. Octopus / Doc Ock with Red Sunglasses and Light Bluish Gray Suit,26
fig-004596,The Penguin,4
fig-004598,The Joker in Prison Clothes with Belt,4
fig-004599,Scarecrow with Dark Brown Legs,4
fig-004601,Robin with Black Hood and Cape,5
fig-004603,Dr. Harleen Quinzel (Harley Quinn),4
fig-004604,Batman with Black Wings,5
fig-004605,Iron Patriot,7
fig-004606,Batman with Utility Belt (LEGO Batman Movie),6
fig-004608,The Joker with Long Coattails with Neck Bracket,6
fig-004609,Ned Leeds with Dark Red Plaid Shirt and Dark Blue Legs,4
fig-004610,Maria Hill with Black Jacket and Dark Blue Legs,4
fig-004611,Spider-Man with Dual Molded Legs with Red Boots,3
fig-004612,Batman in Clown Outfit,5
fig-004613,Batman in Roller Disco Outfit,8
fig-004615,Mr. Freeze (60's TV Series),4
fig-004616,"Nick Fury, Young",4
fig-004617,Captain Marvel in Kree Starforce Uniform,4
fig-004618,Barbara Gordon in SWAT Vest,5
fig-004619,Commissioner James Gordon with Red Sash,4
fig-004620,Dick Grayson in Tuxedo,5
fig-004621,Poison Ivy with Cloth Skirt,5
fig-004623,"The Joker with Long Coattails, and Fang",5
fig-004624,Tarantula,4
fig-004625,Zebra-Man,4
fig-004626,Killer Croc (Big Fig),18
fig-004627,Batgirl with Yellow Cape (LEGO Batman Movie),7
fig-004628,The Joker with Dark Purple Vest and Bright Light Orange Shirt,4
fig-004629,Kabuki Twin,3
fig-004630,Man-Bat,4
fig-004632,Robin with Green Eyes (LEGO Batman Movie),5
fig-004633,Mayor McCaskill,4
fig-004634,Catwoman with Utility Belt,5
fig-004635,"Security Guard with Helmet, Visor, and Air Tanks",7
fig-004636,Mr. Freeze with Red Goggles and Shoulder Armor,5
fig-004638,Harley Quinn with Black and Red Tutu,5
fig-004639,Two-Face (LEGO Batman Movie),4
fig-004640,"GCPD Officer in SWAT Gear, Female",5
fig-004641,"GCPD Officer in SWAT Gear, Male",5
fig-004642,Batman with Utility Belt (LEGO Batman Movie),6
fig-004643,Mutant Leader,3
fig-004644,Bane (Big Fig),27
fig-004645,Scarecrow with Sand Blue Legs,4
fig-004646,Batman with Black Wings,5
fig-004647,The Riddler in Prison Clothes,4
fig-004648,Two-Face in Prison Clothes,4
fig-004650,The Joker in Prison Clothes with 'Arkham' on Back,4
fig-004651,Robin with Green Eyes (LEGO Batman Movie),5
fig-004652,Poison Ivy in Prison Clothes,4
fig-004653,Catwoman in Prison Clothes,5
fig-004654,Barbara Gordon in Pinstripe Vest and Holster,4
fig-004655,Arkham Asylum Statue,4
fig-004657,Dr. Harleen Quinzel (Harley Quinn) with Red Glasses,4
fig-004658,"GCPD Officer, Female",4
fig-004659,"GCPD Officer, Male",4
fig-004660,Aaron Cash,4
fig-004661,The Penguin with Fur Collar and Scowl,5
fig-004662,Scarecrow in Pizza Delivery Outfit,5
fig-004663,Security Guard,4
fig-004664,Bruce Wayne in White Tuxedo,5
fig-004665,Alfred Pennyworth in Dark Blue Suit with Pinstripe Vest,6
fig-004666,"Batman, Boxing Outfit",5
fig-004667,"Batman, Scuba Outfit",8
fig-004668," Batman, Gold Tuxedo Outfit",5
fig-004669,"Viking Warrior - Armour, Sand Blue Arms, Blue Legs",6
fig-004670,"Viking Warrior - Armour, Battle Axe on Torso, Sand Green Arms, Dark Green Legs",6
fig-004671,"Viking Warrior - Breast Plate, Dark Green Legs",8
fig-004672,"Viking Warrior - Armour, Sand BLue Arms",6
fig-004673,"Viking King - Armour, Red Legs, Black Cape",7
fig-004674,"Viking Warrior - Armour, Bare Arms, Black Legs",6
fig-004675,"Viking Warrior - Black Breast Plate, Dark BLue Legs",7
fig-004676,"Viking King - Armour, Black Legs, Red Cape",7
fig-004677,"Viking Warrior - Breast Plate, Black Legs",7
fig-004678,"Viking Warrior - Armour, Battle Axe on Torso, Sand Green Arms, Dark Green Legs, Gray Hair",6
fig-004679,"Viking Warrior - Armour, Sand Blue Arms. Blue Legs",6
fig-004680,"Viking Warrior - Breast Plate, Dark Blue Legs",7
fig-004681,"Viking Warrior - Armour, Belts, Dark Blue Arms, Black Legs",6
fig-004682,"Viking Warrior - Armour, Belts, Dark Blue Arms, Dark Gray Legs",6
fig-004683,"Viking Warrior - Armour, Sand Blue Arms, Black  Legs",6
fig-004684,"Viking Warrior - Armour, Battle Axe on Torso, Sand Green Arms, Dark Green Legs, Light Gray Hair",6
fig-004685,"Viking King - Armour, Reddish Brown Legs",6
fig-004686,"Viking Warrior - Armour, Dark Red Arms, Reddish Brown Legs",6
fig-004687,"Viking Warrior - Armour, Bare Arms, Dark Green Legs",6
